CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
1ba5731ce288   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.10%     7.844MiB / 2GiB       784kB / 330kB     0B / 0B       7
dd757f69cdc4   peer7.org1.example.com                                                                                  16.83%    144.1MiB / 11.57GiB   51.2MB / 36.5MB   0B / 12.7MB   14
82087b71a034   peer6.org1.example.com                                                                                  17.26%    143.3MiB / 11.57GiB   50.8MB / 42.7MB   0B / 10.9MB   15
38688619acff   peer5.org1.example.com                                                                                  19.89%    144.2MiB / 11.57GiB   49.2MB / 44.7MB   0B / 12.6MB   13
b2f17e13c4a1   peer4.org1.example.com                                                                                  14.76%    145.3MiB / 11.57GiB   48.7MB / 43MB     0B / 12.7MB   14
0f521c16e549   peer3.org1.example.com                                                                                  17.24%    140.9MiB / 11.57GiB   49.6MB / 42.6MB   0B / 12.7MB   13
64a3df403f7f   peer2.org1.example.com                                                                                  19.76%    149.3MiB / 11.57GiB   50.2MB / 42.3MB   0B / 12.3MB   14
1d33a0774627   peer1.org1.example.com                                                                                  16.01%    132.2MiB / 11.57GiB   50.8MB / 41.7MB   0B / 12.9MB   14
34134e6bbb4d   cli                                                                                                     0.00%     1.062MiB / 11.57GiB   110kB / 17.5kB    0B / 336kB    1
77ffa431300a   peer0.org2.example.com                                                                                  18.87%    207.3MiB / 11.57GiB   15.8MB / 12.6MB   0B / 3.77MB   14
2ed2e2c83f1c   peer0.org1.example.com                                                                                  11.18%    132.4MiB / 11.57GiB   48.2MB / 37.9MB   0B / 5.12MB   12
f9a14036ab3e   couchdb0                                                                                                13.42%    61.37MiB / 11.57GiB   767kB / 786kB     0B / 2.51MB   42
a66bfbf9253e   couchdb1                                                                                                16.44%    129.9MiB / 11.57GiB   1.57MB / 1.59MB   0B / 1.69MB   42
50cf47e07905   orderer.example.com                                                                                     15.85%    79.75MiB / 11.57GiB   11.2MB / 65.7MB   0B / 21.7MB   14
06dec05ee085   ca_orderer                                                                                              0.00%     7.148MiB / 11.57GiB   24.4kB / 27.2kB   0B / 659kB    8
c4257beb273a   ca_org2                                                                                                 0.00%     8.371MiB / 11.57GiB   28.8kB / 35.5kB   0B / 737kB    8
d79a4f613ecf   ca_org1                                                                                                 0.00%     8.898MiB / 11.57GiB   72.5kB / 134kB    0B / 1.65MB   8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
e3f81fe3dd34   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.72%     8.32MiB / 2GiB        1.49MB / 1.12MB   0B / 0B       8
ec17c381aecc   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   11.33%    26.6MiB / 2GiB        6.23MB / 2.35MB   0B / 0B       8
c936f8ce58ce   dev-peer7.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.07%     8.23MiB / 2GiB        791kB / 334kB     0B / 0B       7
1b91ff1a660c   dev-peer5.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.53%     8.094MiB / 2GiB       831kB / 354kB     0B / 0B       8
5e219326626a   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.74%     8.184MiB / 2GiB       843kB / 355kB     0B / 0B       8
4c75378b1eb8   dev-peer4.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.94%     8.641MiB / 2GiB       831kB / 345kB     0B / 0B       8
78ab195fe9be   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.24%     8.234MiB / 2GiB       825kB / 347kB     0B / 0B       7
66a116cb08e9   dev-peer6.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.70%     8.059MiB / 2GiB       880kB / 359kB     0B / 0B       7
1ba5731ce288   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.28%     7.996MiB / 2GiB       886kB / 373kB     0B / 0B       7
dd757f69cdc4   peer7.org1.example.com                                                                                  13.53%    138.7MiB / 11.57GiB   62.5MB / 47.2MB   0B / 15.1MB   14
82087b71a034   peer6.org1.example.com                                                                                  16.30%    139.1MiB / 11.57GiB   61.6MB / 53MB     0B / 13.2MB   15
38688619acff   peer5.org1.example.com                                                                                  17.61%    138.9MiB / 11.57GiB   61.3MB / 56.2MB   0B / 15.2MB   13
b2f17e13c4a1   peer4.org1.example.com                                                                                  17.62%    154.8MiB / 11.57GiB   60.2MB / 53.5MB   0B / 15.5MB   14
0f521c16e549   peer3.org1.example.com                                                                                  16.32%    148.8MiB / 11.57GiB   61.5MB / 54.8MB   0B / 15.4MB   14
64a3df403f7f   peer2.org1.example.com                                                                                  22.29%    146.1MiB / 11.57GiB   62.7MB / 56MB     0B / 15.6MB   14
1d33a0774627   peer1.org1.example.com                                                                                  19.34%    123.6MiB / 11.57GiB   61.5MB / 50.2MB   0B / 15.8MB   14
34134e6bbb4d   cli                                                                                                     0.00%     1.062MiB / 11.57GiB   110kB / 17.5kB    0B / 336kB    1
77ffa431300a   peer0.org2.example.com                                                                                  18.99%    194.6MiB / 11.57GiB   17.2MB / 14.9MB   0B / 3.78MB   14
2ed2e2c83f1c   peer0.org1.example.com                                                                                  9.83%     127.3MiB / 11.57GiB   59.5MB / 44.7MB   0B / 5.53MB   13
f9a14036ab3e   couchdb0                                                                                                10.62%    62.04MiB / 11.57GiB   815kB / 836kB     0B / 2.77MB   42
a66bfbf9253e   couchdb1                                                                                                13.39%    126MiB / 11.57GiB     1.79MB / 1.79MB   0B / 1.73MB   42
50cf47e07905   orderer.example.com                                                                                     9.43%     82.81MiB / 11.57GiB   14MB / 80.6MB     0B / 28.3MB   14
06dec05ee085   ca_orderer                                                                                              0.00%     7.148MiB / 11.57GiB   24.6kB / 27.2kB   0B / 659kB    8
c4257beb273a   ca_org2                                                                                                 0.00%     8.371MiB / 11.57GiB   29.1kB / 35.5kB   0B / 737kB    8
d79a4f613ecf   ca_org1                                                                                                 0.00%     8.898MiB / 11.57GiB   72.9kB / 134kB    0B / 1.65MB   8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
e3f81fe3dd34   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.20%     8.641MiB / 2GiB       1.58MB / 1.16MB   0B / 0B       8
