CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
ee97686dfd5a   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   32.82%    8.832MiB / 2GiB       215MB / 179MB     0B / 0B           10
93ca131dc036   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   24.61%    7.824MiB / 2GiB       216MB / 180MB     0B / 0B           10
3c8c73db405c   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   28.52%    8.957MiB / 2GiB       216MB / 180MB     8.19kB / 0B       9
71cba593f034   peer3.org1.example.com                                                                                  16.79%    99.47MiB / 11.57GiB   199MB / 570MB     1.69MB / 30.3MB   12
5c331ce2079d   peer2.org1.example.com                                                                                  13.66%    90.27MiB / 11.57GiB   196MB / 571MB     0B / 3.43MB       12
f15ece11cd6b   peer1.org1.example.com                                                                                  12.57%    102MiB / 11.57GiB     196MB / 571MB     131kB / 3.43MB    11
3219fc43a97f   cli                                                                                                     0.00%     12.15MiB / 11.57GiB   109kB / 17.4kB    14.4MB / 336kB    1
ce3a5a7ec086   peer0.org1.example.com                                                                                  25.93%    192.5MiB / 11.57GiB   624MB / 444MB     9.4MB / 3.35MB    11
33865ddd67d6   peer0.org2.example.com                                                                                  1.78%     83.68MiB / 11.57GiB   8.14MB / 5.25MB   19.9MB / 3.35MB   10
b7b76a86372b   orderer.example.com                                                                                     0.04%     20.7MiB / 11.57GiB    520kB / 1.3MB     19.7MB / 500kB    9
d246828719b3   couchdb0                                                                                                161.18%   177.4MiB / 11.57GiB   18.4MB / 469MB    11.9MB / 1.41MB   42
5fc5677fdddf   couchdb1                                                                                                1.54%     70.41MiB / 11.57GiB   361kB / 337kB     16.7MB / 1.41MB   42
965ac28a4af2   ca_org1                                                                                                 0.00%     7.148MiB / 11.57GiB   46.4kB / 77.5kB   2.62MB / 1.13MB   8
57c8708501be   ca_orderer                                                                                              0.00%     7.203MiB / 11.57GiB   23.2kB / 27.2kB   2.67MB / 659kB    8
780d856de9b7   ca_org2                                                                                                 0.00%     7.852MiB / 11.57GiB   27.9kB / 35.5kB   18.8MB / 737kB    8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
64725e251350   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.836MiB / 2GiB       310kB / 367kB     0B / 0B           7
a309f5f16996   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   20.98%    20.37MiB / 2GiB       176MB / 141MB     0B / 0B           9
ee97686dfd5a   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   27.06%    8.641MiB / 2GiB       221MB / 184MB     0B / 0B           10
93ca131dc036   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   25.48%    8.84MiB / 2GiB        222MB / 185MB     0B / 0B           10
3c8c73db405c   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   28.26%    8.836MiB / 2GiB       222MB / 185MB     8.19kB / 0B       9
71cba593f034   peer3.org1.example.com                                                                                  13.24%    99.51MiB / 11.57GiB   204MB / 586MB     1.69MB / 30.3MB   12
5c331ce2079d   peer2.org1.example.com                                                                                  13.91%    98.35MiB / 11.57GiB   202MB / 586MB     0B / 3.43MB       12
f15ece11cd6b   peer1.org1.example.com                                                                                  11.86%    102.4MiB / 11.57GiB   202MB / 587MB     131kB / 3.43MB    11
3219fc43a97f   cli                                                                                                     0.00%     12.15MiB / 11.57GiB   109kB / 17.4kB    14.4MB / 336kB    1
ce3a5a7ec086   peer0.org1.example.com                                                                                  40.85%    200.7MiB / 11.57GiB   638MB / 454MB     9.4MB / 3.35MB    11
33865ddd67d6   peer0.org2.example.com                                                                                  0.78%     83.77MiB / 11.57GiB   8.16MB / 5.27MB   19.9MB / 3.35MB   10
b7b76a86372b   orderer.example.com                                                                                     0.04%     20.7MiB / 11.57GiB    521kB / 1.31MB    19.7MB / 500kB    9
d246828719b3   couchdb0                                                                                                131.74%   177.5MiB / 11.57GiB   19MB / 480MB      11.9MB / 1.41MB   42
5fc5677fdddf   couchdb1                                                                                                4.36%     70.43MiB / 11.57GiB   361kB / 337kB     16.7MB / 1.41MB   42
965ac28a4af2   ca_org1                                                                                                 0.00%     7.148MiB / 11.57GiB   46.4kB / 77.5kB   2.62MB / 1.13MB   8
57c8708501be   ca_orderer                                                                                              0.00%     7.203MiB / 11.57GiB   23.2kB / 27.2kB   2.67MB / 659kB    8
780d856de9b7   ca_org2                                                                                                 0.00%     7.852MiB / 11.57GiB   27.9kB / 35.5kB   18.8MB / 737kB    8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
64725e251350   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.836MiB / 2GiB       310kB / 367kB     0B / 0B           7
a309f5f16996   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   15.50%    22.31MiB / 2GiB       180MB / 144MB     0B / 0B           9
ee97686dfd5a   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   29.86%    9.777MiB / 2GiB       227MB / 189MB     0B / 0B           10
93ca131dc036   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   28.01%    8.926MiB / 2GiB       227MB / 189MB     0B / 0B           10
3c8c73db405c   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   29.01%    9.168MiB / 2GiB       227MB / 189MB     8.19kB / 0B       9
71cba593f034   peer3.org1.example.com                                                                                  13.81%    99.93MiB / 11.57GiB   209MB / 602MB     1.69MB / 30.3MB   12
5c331ce2079d   peer2.org1.example.com                                                                                  13.04%    98.29MiB / 11.57GiB   207MB / 602MB     0B / 3.43MB       12
f15ece11cd6b   peer1.org1.example.com                                                                                  13.42%    102.4MiB / 11.57GiB   206MB / 598MB     131kB / 3.43MB    11
3219fc43a97f   cli                                                                                                     0.00%     12.15MiB / 11.57GiB   109kB / 17.4kB    14.4MB / 336kB    1
ce3a5a7ec086   peer0.org1.example.com                                                                                  33.82%    208.5MiB / 11.57GiB   652MB / 465MB     9.4MB / 3.35MB    11
33865ddd67d6   peer0.org2.example.com                                                                                  0.88%     83.93MiB / 11.57GiB   8.19MB / 5.3MB    19.9MB / 3.35MB   10
b7b76a86372b   orderer.example.com                                                                                     0.04%     20.7MiB / 11.57GiB    522kB / 1.31MB    19.7MB / 500kB    9
d246828719b3   couchdb0                                                                                                137.60%   186.6MiB / 11.57GiB   19.5MB / 491MB    11.9MB / 1.41MB   42
5fc5677fdddf   couchdb1                                                                                                1.17%     70.43MiB / 11.57GiB   361kB / 337kB     16.7MB / 1.41MB   42
965ac28a4af2   ca_org1                                                                                                 0.00%     7.148MiB / 11.57GiB   46.4kB / 77.5kB   2.62MB / 1.13MB   8
57c8708501be   ca_orderer                                                                                              0.00%     7.203MiB / 11.57GiB   23.2kB / 27.2kB   2.67MB / 659kB    8
780d856de9b7   ca_org2                                                                                                 0.00%     7.852MiB / 11.57GiB   27.9kB / 35.5kB   18.8MB / 737kB    8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
64725e251350   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.836MiB / 2GiB       310kB / 367kB     0B / 0B           7
a309f5f16996   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   19.48%    24.9MiB / 2GiB        184MB / 148MB     0B / 0B           9
ee97686dfd5a   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   27.00%    8.945MiB / 2GiB       233MB / 194MB     0B / 0B           10
93ca131dc036   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   23.86%    9.047MiB / 2GiB       233MB / 194MB     0B / 0B           10
3c8c73db405c   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   26.60%    8.895MiB / 2GiB       233MB / 194MB     8.19kB / 0B       9
71cba593f034   peer3.org1.example.com                                                                                  15.15%    100MiB / 11.57GiB     214MB / 617MB     1.69MB / 30.3MB   12
5c331ce2079d   peer2.org1.example.com                                                                                  14.94%    100.3MiB / 11.57GiB   212MB / 617MB     0B / 3.43MB       12
f15ece11cd6b   peer1.org1.example.com                                                                                  13.31%    102.4MiB / 11.57GiB   212MB / 617MB     131kB / 3.43MB    11
3219fc43a97f   cli                                                                                                     0.00%     12.15MiB / 11.57GiB   109kB / 17.4kB    14.4MB / 336kB    1
ce3a5a7ec086   peer0.org1.example.com                                                                                  35.60%    215.4MiB / 11.57GiB   667MB / 476MB     9.4MB / 3.35MB    11
33865ddd67d6   peer0.org2.example.com                                                                                  1.55%     84MiB / 11.57GiB      8.22MB / 5.33MB   19.9MB / 3.35MB   10
b7b76a86372b   orderer.example.com                                                                                     0.05%     20.7MiB / 11.57GiB    522kB / 1.31MB    19.7MB / 500kB    9
d246828719b3   couchdb0                                                                                                160.57%   206.2MiB / 11.57GiB   20MB / 502MB      11.9MB / 1.41MB   42
5fc5677fdddf   couchdb1                                                                                                4.32%     70.44MiB / 11.57GiB   361kB / 337kB     16.7MB / 1.41MB   42
965ac28a4af2   ca_org1                                                                                                 0.00%     7.18MiB / 11.57GiB    46.4kB / 77.5kB   2.62MB / 1.13MB   8
57c8708501be   ca_orderer                                                                                              0.00%     7.203MiB / 11.57GiB   23.2kB / 27.2kB   2.67MB / 659kB    8
780d856de9b7   ca_org2                                                                                                 0.00%     7.852MiB / 11.57GiB   27.9kB / 35.5kB   18.8MB / 737kB    8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
64725e251350   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.836MiB / 2GiB       310kB / 367kB     0B / 0B           7
a309f5f16996   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   26.20%    24.36MiB / 2GiB       188MB / 151MB     0B / 0B           9
ee97686dfd5a   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   26.44%    9.637MiB / 2GiB       239MB / 199MB     0B / 0B           10
93ca131dc036   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   27.00%    9.332MiB / 2GiB       239MB / 199MB     0B / 0B           10
3c8c73db405c   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   26.95%    8.66MiB / 2GiB        239MB / 199MB     8.19kB / 0B       9
71cba593f034   peer3.org1.example.com                                                                                  12.43%    92.45MiB / 11.57GiB   219MB / 632MB     1.69MB / 30.3MB   12
5c331ce2079d   peer2.org1.example.com                                                                                  13.30%    100.4MiB / 11.57GiB   217MB / 632MB     0B / 3.43MB       12
f15ece11cd6b   peer1.org1.example.com                                                                                  14.42%    101.7MiB / 11.57GiB   217MB / 632MB     131kB / 3.43MB    11
3219fc43a97f   cli                                                                                                     0.00%     12.15MiB / 11.57GiB   109kB / 17.4kB    14.4MB / 336kB    1
ce3a5a7ec086   peer0.org1.example.com                                                                                  46.71%    223MiB / 11.57GiB     682MB / 488MB     9.4MB / 3.35MB    12
33865ddd67d6   peer0.org2.example.com                                                                                  1.44%     84.13MiB / 11.57GiB   8.24MB / 5.35MB   19.9MB / 3.35MB   10
b7b76a86372b   orderer.example.com                                                                                     0.04%     20.7MiB / 11.57GiB    523kB / 1.31MB    19.7MB / 500kB    9
d246828719b3   couchdb0                                                                                                137.84%   217.3MiB / 11.57GiB   20.6MB / 513MB    11.9MB / 1.41MB   42
5fc5677fdddf   couchdb1                                                                                                1.06%     70.44MiB / 11.57GiB   361kB / 337kB     16.7MB / 1.41MB   42
965ac28a4af2   ca_org1                                                                                                 0.00%     7.18MiB / 11.57GiB    46.4kB / 77.5kB   2.62MB / 1.13MB   8
57c8708501be   ca_orderer                                                                                              0.00%     7.203MiB / 11.57GiB   23.2kB / 27.2kB   2.67MB / 659kB    8
780d856de9b7   ca_org2                                                                                                 0.00%     7.852MiB / 11.57GiB   27.9kB / 35.5kB   18.8MB / 737kB    8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
64725e251350   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.836MiB / 2GiB       310kB / 367kB     0B / 0B           7
a309f5f16996   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   20.74%    25.98MiB / 2GiB       192MB / 155MB     0B / 0B           9
ee97686dfd5a   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   26.44%    8.648MiB / 2GiB       244MB / 203MB     0B / 0B           10
93ca131dc036   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   25.25%    8.418MiB / 2GiB       245MB / 204MB     0B / 0B           10
3c8c73db405c   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   24.65%    8.969MiB / 2GiB       245MB / 204MB     8.19kB / 0B       9
71cba593f034   peer3.org1.example.com                                                                                  11.89%    91.06MiB / 11.57GiB   224MB / 646MB     1.69MB / 30.3MB   12
5c331ce2079d   peer2.org1.example.com                                                                                  12.89%    91.96MiB / 11.57GiB   222MB / 647MB     0B / 3.43MB       12
f15ece11cd6b   peer1.org1.example.com                                                                                  12.09%    102.7MiB / 11.57GiB   222MB / 647MB     131kB / 3.43MB    11
3219fc43a97f   cli                                                                                                     0.00%     12.15MiB / 11.57GiB   109kB / 17.4kB    14.4MB / 336kB    1
ce3a5a7ec086   peer0.org1.example.com                                                                                  40.02%    230.5MiB / 11.57GiB   696MB / 499MB     9.4MB / 3.35MB    12
33865ddd67d6   peer0.org2.example.com                                                                                  1.27%     84.01MiB / 11.57GiB   8.26MB / 5.38MB   19.9MB / 3.35MB   10
b7b76a86372b   orderer.example.com                                                                                     0.05%     20.7MiB / 11.57GiB    523kB / 1.31MB    19.7MB / 500kB    9
d246828719b3   couchdb0                                                                                                150.66%   223.3MiB / 11.57GiB   21.2MB / 524MB    11.9MB / 1.41MB   42
5fc5677fdddf   couchdb1                                                                                                0.90%     70.44MiB / 11.57GiB   361kB / 337kB     16.7MB / 1.41MB   42
965ac28a4af2   ca_org1                                                                                                 0.00%     7.18MiB / 11.57GiB    46.4kB / 77.5kB   2.62MB / 1.13MB   8
57c8708501be   ca_orderer                                                                                              0.00%     7.203MiB / 11.57GiB   23.2kB / 27.2kB   2.67MB / 659kB    8
780d856de9b7   ca_org2                                                                                                 0.00%     7.852MiB / 11.57GiB   27.9kB / 35.5kB   18.8MB / 737kB    8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
64725e251350   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.836MiB / 2GiB       310kB / 367kB     0B / 0B           7
a309f5f16996   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   19.81%    24.12MiB / 2GiB       195MB / 157MB     0B / 0B           9
