CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
6ca81a83e58f   peer0.org2.example.com                                                                                  0.62%     101.5MiB / 11.57GiB   6.49MB / 3.53MB   0B / 3.43MB       10
6e86fd93aec3   peer0.org1.example.com                                                                                  36.04%    173.4MiB / 11.57GiB   512MB / 119MB     0B / 3.43MB       11
a837ede80b9a   couchdb1                                                                                                0.93%     58.28MiB / 11.57GiB   565kB / 565kB     0B / 1.55MB       42
81e37aa368a6   orderer.example.com                                                                                     0.07%     24.09MiB / 11.57GiB   530kB / 1.55MB    0B / 618kB        10
11d434a1ec2f   couchdb0                                                                                                165.07%   134.2MiB / 11.57GiB   22.2MB / 472MB    0B / 1.55MB       42
0c2259c3986b   ca_org2                                                                                                 0.00%     7.137MiB / 11.57GiB   27.4kB / 35.5kB   0B / 737kB        7
3c078f73c206   ca_orderer                                                                                              0.00%     7.188MiB / 11.57GiB   22.7kB / 27.2kB   0B / 659kB        7
57600c10fef7   ca_org1                                                                                                 0.00%     7.203MiB / 11.57GiB   46.1kB / 77.6kB   0B / 1.13MB       8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
24bb6ee4d692   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   14.42%    15.62MiB / 2GiB       44.9MB / 33.1MB   0B / 0B           8
17fd564de689   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   26.69%    9.953MiB / 2GiB       268MB / 225MB     0B / 0B           10
bfbf1d127563   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     5.902MiB / 2GiB       661kB / 787kB     0B / 0B           7
d83f850aa6d0   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   29.01%    9.441MiB / 2GiB       266MB / 224MB     0B / 0B           10
db2b896e9fa8   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   16.66%    9.445MiB / 2GiB       268MB / 225MB     0B / 0B           9
79b3959af5a9   peer3.org1.example.com                                                                                  12.21%    116.4MiB / 11.57GiB   239MB / 704MB     28.7kB / 3.58MB   11
173957f1efd7   peer2.org1.example.com                                                                                  6.55%     122.8MiB / 11.57GiB   237MB / 706MB     0B / 3.57MB       12
6b52a2feedf3   peer1.org1.example.com                                                                                  10.49%    106.5MiB / 11.57GiB   238MB / 708MB     0B / 3.57MB       11
b9227a1b2c76   cli                                                                                                     0.00%     1.09MiB / 11.57GiB    109kB / 17.4kB    389kB / 336kB     1
6ca81a83e58f   peer0.org2.example.com                                                                                  1.05%     101.5MiB / 11.57GiB   6.51MB / 3.55MB   0B / 3.43MB       10
6e86fd93aec3   peer0.org1.example.com                                                                                  29.80%    187.2MiB / 11.57GiB   529MB / 129MB     0B / 3.43MB       12
a837ede80b9a   couchdb1                                                                                                1.06%     58.28MiB / 11.57GiB   565kB / 565kB     0B / 1.55MB       42
81e37aa368a6   orderer.example.com                                                                                     0.05%     24.09MiB / 11.57GiB   530kB / 1.55MB    0B / 618kB        10
11d434a1ec2f   couchdb0                                                                                                197.04%   134.5MiB / 11.57GiB   22.8MB / 486MB    0B / 1.55MB       42
0c2259c3986b   ca_org2                                                                                                 0.00%     7.137MiB / 11.57GiB   27.4kB / 35.5kB   0B / 737kB        7
3c078f73c206   ca_orderer                                                                                              0.00%     7.188MiB / 11.57GiB   22.7kB / 27.2kB   0B / 659kB        7
57600c10fef7   ca_org1                                                                                                 0.00%     7.203MiB / 11.57GiB   46.1kB / 77.6kB   0B / 1.13MB       8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
24bb6ee4d692   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   16.67%    16.93MiB / 2GiB       51.3MB / 38.2MB   0B / 0B           8
17fd564de689   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   39.60%    9.867MiB / 2GiB       274MB / 231MB     0B / 0B           10
bfbf1d127563   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     5.902MiB / 2GiB       661kB / 787kB     0B / 0B           7
d83f850aa6d0   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   15.38%    9.852MiB / 2GiB       272MB / 228MB     0B / 0B           10
db2b896e9fa8   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   27.63%    10.61MiB / 2GiB       274MB / 230MB     0B / 0B           9
79b3959af5a9   peer3.org1.example.com                                                                                  7.10%     116.4MiB / 11.57GiB   244MB / 718MB     28.7kB / 3.58MB   11
173957f1efd7   peer2.org1.example.com                                                                                  12.57%    116.7MiB / 11.57GiB   242MB / 722MB     0B / 3.57MB       12
6b52a2feedf3   peer1.org1.example.com                                                                                  7.94%     107.1MiB / 11.57GiB   242MB / 719MB     0B / 3.57MB       11
b9227a1b2c76   cli                                                                                                     0.00%     1.09MiB / 11.57GiB    109kB / 17.4kB    389kB / 336kB     1
6ca81a83e58f   peer0.org2.example.com                                                                                  0.71%     101.5MiB / 11.57GiB   6.53MB / 3.57MB   0B / 3.43MB       10
6e86fd93aec3   peer0.org1.example.com                                                                                  43.16%    197.5MiB / 11.57GiB   546MB / 146MB     0B / 3.43MB       12
a837ede80b9a   couchdb1                                                                                                0.91%     58.28MiB / 11.57GiB   565kB / 565kB     0B / 1.55MB       42
81e37aa368a6   orderer.example.com                                                                                     0.04%     24.09MiB / 11.57GiB   532kB / 1.55MB    0B / 618kB        10
11d434a1ec2f   couchdb0                                                                                                174.58%   134.4MiB / 11.57GiB   23.2MB / 497MB    0B / 1.55MB       42
0c2259c3986b   ca_org2                                                                                                 0.00%     7.137MiB / 11.57GiB   27.4kB / 35.5kB   0B / 737kB        7
3c078f73c206   ca_orderer                                                                                              0.00%     7.188MiB / 11.57GiB   22.7kB / 27.2kB   0B / 659kB        7
57600c10fef7   ca_org1                                                                                                 0.00%     7.203MiB / 11.57GiB   46.1kB / 77.6kB   0B / 1.13MB       8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
24bb6ee4d692   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   14.82%    16.26MiB / 2GiB       55.2MB / 41.8MB   0B / 0B           8
17fd564de689   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   20.81%    9.766MiB / 2GiB       280MB / 235MB     0B / 0B           10
bfbf1d127563   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     5.902MiB / 2GiB       661kB / 787kB     0B / 0B           7
