CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
003602e37b49   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   44.34%    9.691MiB / 2GiB       167MB / 139MB     0B / 0B       9
6640668c08c7   peer3.org1.example.com                                                                                  22.08%    103.6MiB / 11.57GiB   154MB / 441MB     0B / 3.43MB   10
3300305257ae   peer2.org1.example.com                                                                                  21.79%    111.9MiB / 11.57GiB   151MB / 441MB     0B / 3.44MB   11
d682d9a12dd8   peer1.org1.example.com                                                                                  21.05%    91.41MiB / 11.57GiB   151MB / 441MB     0B / 3.43MB   11
e2e6ace26dad   cli                                                                                                     0.00%     1.059MiB / 11.57GiB   109kB / 17.7kB    0B / 336kB    1
1f89ad65cd4c   peer0.org1.example.com                                                                                  29.41%    133.7MiB / 11.57GiB   521MB / 438MB     0B / 3.35MB   13
b67642bca6e1   peer0.org2.example.com                                                                                  3.18%     66.38MiB / 11.57GiB   5.46MB / 2.55MB   0B / 3.37MB   10
f44dcc617cde   couchdb1                                                                                                0.38%     55.62MiB / 11.57GiB   359kB / 335kB     0B / 1.42MB   42
a72317bb1012   orderer.example.com                                                                                     0.12%     19.57MiB / 11.57GiB   259kB / 980kB     0B / 500kB    12
06570e84cacd   couchdb0                                                                                                64.42%    89.16MiB / 11.57GiB   11.2MB / 373MB    0B / 1.42MB   42
64b3d7dc3419   ca_org1                                                                                                 0.00%     7.41MiB / 11.57GiB    46.4kB / 77.8kB   0B / 1.13MB   7
8098c80205e5   ca_org2                                                                                                 0.00%     7.117MiB / 11.57GiB   27.2kB / 35.4kB   0B / 737kB    7
f4bf6573cc65   ca_orderer                                                                                              0.00%     7.109MiB / 11.57GiB   23kB / 27.2kB     0B / 659kB    8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
d759e481e4ac   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   33.73%    12.86MiB / 2GiB       168MB / 141MB     0B / 0B       9
564cb404308c   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.633MiB / 2GiB       324kB / 382kB     0B / 0B       7
6fbaa2281f37   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   33.60%    11.88MiB / 2GiB       172MB / 143MB     0B / 0B       9
bb85d2ea2e20   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   36.75%    13.41MiB / 2GiB       172MB / 144MB     0B / 0B       9
003602e37b49   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   36.83%    12.5MiB / 2GiB        172MB / 143MB     0B / 0B       9
6640668c08c7   peer3.org1.example.com                                                                                  19.86%    104.1MiB / 11.57GiB   158MB / 452MB     0B / 3.43MB   10
3300305257ae   peer2.org1.example.com                                                                                  21.28%    112MiB / 11.57GiB     155MB / 453MB     0B / 3.44MB   11
d682d9a12dd8   peer1.org1.example.com                                                                                  17.43%    84.3MiB / 11.57GiB    155MB / 453MB     0B / 3.43MB   11
e2e6ace26dad   cli                                                                                                     0.00%     1.059MiB / 11.57GiB   109kB / 17.7kB    0B / 336kB    1
1f89ad65cd4c   peer0.org1.example.com                                                                                  45.60%    135.9MiB / 11.57GiB   535MB / 449MB     0B / 3.35MB   13
b67642bca6e1   peer0.org2.example.com                                                                                  1.71%     66.38MiB / 11.57GiB   5.48MB / 2.57MB   0B / 3.37MB   10
f44dcc617cde   couchdb1                                                                                                0.28%     55.62MiB / 11.57GiB   359kB / 335kB     0B / 1.42MB   42
a72317bb1012   orderer.example.com                                                                                     0.13%     19.57MiB / 11.57GiB   260kB / 981kB     0B / 500kB    12
06570e84cacd   couchdb0                                                                                                45.79%    93.02MiB / 11.57GiB   11.5MB / 382MB    0B / 1.42MB   42
64b3d7dc3419   ca_org1                                                                                                 0.00%     7.41MiB / 11.57GiB    46.4kB / 77.8kB   0B / 1.13MB   7
8098c80205e5   ca_org2                                                                                                 0.00%     7.117MiB / 11.57GiB   27.2kB / 35.4kB   0B / 737kB    7
f4bf6573cc65   ca_orderer                                                                                              0.00%     7.109MiB / 11.57GiB   23kB / 27.2kB     0B / 659kB    8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
d759e481e4ac   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   18.07%    12.39MiB / 2GiB       171MB / 143MB     0B / 0B       9
564cb404308c   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.703MiB / 2GiB       324kB / 382kB     0B / 0B       7
6fbaa2281f37   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   43.15%    13.14MiB / 2GiB       177MB / 148MB     0B / 0B       9
bb85d2ea2e20   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   39.54%    12.65MiB / 2GiB       177MB / 147MB     0B / 0B       9
003602e37b49   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   35.13%    9.746MiB / 2GiB       177MB / 147MB     0B / 0B       9
6640668c08c7   peer3.org1.example.com                                                                                  21.60%    104MiB / 11.57GiB     162MB / 465MB     0B / 3.43MB   10
3300305257ae   peer2.org1.example.com                                                                                  22.33%    105.4MiB / 11.57GiB   159MB / 465MB     0B / 3.44MB   11
d682d9a12dd8   peer1.org1.example.com                                                                                  20.56%    82.37MiB / 11.57GiB   160MB / 466MB     0B / 3.43MB   11
e2e6ace26dad   cli                                                                                                     0.00%     1.059MiB / 11.57GiB   109kB / 17.7kB    0B / 336kB    1
1f89ad65cd4c   peer0.org1.example.com                                                                                  15.91%    135.3MiB / 11.57GiB   548MB / 458MB     0B / 3.35MB   13
b67642bca6e1   peer0.org2.example.com                                                                                  3.21%     66.39MiB / 11.57GiB   5.51MB / 2.6MB    0B / 3.37MB   10
f44dcc617cde   couchdb1                                                                                                0.66%     55.62MiB / 11.57GiB   359kB / 335kB     0B / 1.42MB   42
a72317bb1012   orderer.example.com                                                                                     0.36%     19.57MiB / 11.57GiB   260kB / 981kB     0B / 500kB    12
06570e84cacd   couchdb0                                                                                                72.35%    101MiB / 11.57GiB     11.9MB / 392MB    0B / 1.42MB   42
64b3d7dc3419   ca_org1                                                                                                 0.00%     7.41MiB / 11.57GiB    46.4kB / 77.8kB   0B / 1.13MB   7
8098c80205e5   ca_org2                                                                                                 0.00%     7.117MiB / 11.57GiB   27.2kB / 35.4kB   0B / 737kB    7
f4bf6573cc65   ca_orderer                                                                                              0.00%     7.109MiB / 11.57GiB   23kB / 27.2kB     0B / 659kB    8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
d759e481e4ac   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   17.65%    13.37MiB / 2GiB       176MB / 147MB     0B / 0B       9
564cb404308c   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.703MiB / 2GiB       324kB / 382kB     0B / 0B       7
6fbaa2281f37   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   19.38%    8.641MiB / 2GiB       182MB / 152MB     0B / 0B       9
bb85d2ea2e20   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   23.13%    9.035MiB / 2GiB       182MB / 152MB     0B / 0B       9
003602e37b49   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   22.08%    8.766MiB / 2GiB       182MB / 152MB     0B / 0B       9
6640668c08c7   peer3.org1.example.com                                                                                  11.72%    104MiB / 11.57GiB     166MB / 479MB     0B / 3.43MB   10
3300305257ae   peer2.org1.example.com                                                                                  11.13%    103.7MiB / 11.57GiB   164MB / 479MB     0B / 3.44MB   11
d682d9a12dd8   peer1.org1.example.com                                                                                  11.66%    85.3MiB / 11.57GiB    163MB / 476MB     0B / 3.43MB   11
e2e6ace26dad   cli                                                                                                     0.00%     1.059MiB / 11.57GiB   109kB / 17.7kB    0B / 336kB    1
1f89ad65cd4c   peer0.org1.example.com                                                                                  31.97%    149.3MiB / 11.57GiB   564MB / 471MB     0B / 3.35MB   13
b67642bca6e1   peer0.org2.example.com                                                                                  0.60%     66.4MiB / 11.57GiB    5.53MB / 2.62MB   0B / 3.37MB   10
f44dcc617cde   couchdb1                                                                                                0.26%     55.62MiB / 11.57GiB   359kB / 335kB     0B / 1.42MB   42
a72317bb1012   orderer.example.com                                                                                     0.06%     19.57MiB / 11.57GiB   261kB / 981kB     0B / 500kB    12
06570e84cacd   couchdb0                                                                                                183.21%   112.8MiB / 11.57GiB   12.4MB / 404MB    0B / 1.42MB   42
64b3d7dc3419   ca_org1                                                                                                 0.00%     7.41MiB / 11.57GiB    46.4kB / 77.8kB   0B / 1.13MB   7
8098c80205e5   ca_org2                                                                                                 0.00%     7.117MiB / 11.57GiB   27.2kB / 35.4kB   0B / 737kB    7
f4bf6573cc65   ca_orderer                                                                                              0.00%     7.109MiB / 11.57GiB   23kB / 27.2kB     0B / 659kB    8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
d759e481e4ac   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   17.69%    14.92MiB / 2GiB       181MB / 151MB     0B / 0B       9
564cb404308c   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.703MiB / 2GiB       324kB / 382kB     0B / 0B       7
6fbaa2281f37   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   30.21%    8.625MiB / 2GiB       187MB / 156MB     0B / 0B       9
bb85d2ea2e20   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   32.17%    8.676MiB / 2GiB       187MB / 156MB     0B / 0B       9
003602e37b49   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   34.00%    8.633MiB / 2GiB       187MB / 156MB     0B / 0B       9
6640668c08c7   peer3.org1.example.com                                                                                  17.41%    101.3MiB / 11.57GiB   171MB / 492MB     0B / 3.43MB   10
3300305257ae   peer2.org1.example.com                                                                                  14.05%    111.8MiB / 11.57GiB   168MB / 492MB     0B / 3.44MB   11
d682d9a12dd8   peer1.org1.example.com                                                                                  15.00%    90.37MiB / 11.57GiB   168MB / 492MB     0B / 3.43MB   11
e2e6ace26dad   cli                                                                                                     0.00%     1.059MiB / 11.57GiB   109kB / 17.7kB    0B / 336kB    1
1f89ad65cd4c   peer0.org1.example.com                                                                                  27.72%    153.3MiB / 11.57GiB   577MB / 484MB     0B / 3.35MB   13
b67642bca6e1   peer0.org2.example.com                                                                                  1.32%     66.41MiB / 11.57GiB   5.55MB / 2.65MB   0B / 3.37MB   10
f44dcc617cde   couchdb1                                                                                                0.33%     55.62MiB / 11.57GiB   359kB / 335kB     0B / 1.42MB   42
