CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O        PIDS
b6100486c01a   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.89%     8.234MiB / 2GiB       1.59MB / 1.18MB   0B / 0B          7
d43be5d0e8b3   dev-peer4.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.73%     7.863MiB / 2GiB       956kB / 406kB     0B / 0B          8
5fa2c6027bd9   dev-peer2.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.68%     8.145MiB / 2GiB       963kB / 415kB     0B / 0B          8
6e68049281fb   dev-peer7.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.61%     8.105MiB / 2GiB       921kB / 381kB     0B / 0B          8
f5857b92b373   dev-peer6.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.52%     7.75MiB / 2GiB        860kB / 376kB     0B / 0B          7
db6258fcc444   dev-peer5.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.58%     8.156MiB / 2GiB       948kB / 411kB     0B / 0B          8
fc35ab9d0b44   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.84%     8.324MiB / 2GiB       905kB / 382kB     0B / 0B          8
8b31f9929446   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.96%     8.051MiB / 2GiB       1.57MB / 1.17MB   0B / 0B          7
91487ee3e0da   dev-peer3.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.06%     8.023MiB / 2GiB       990kB / 425kB     0B / 0B          8
256fc3b9414d   dev-peer1.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.97%     8.273MiB / 2GiB       938kB / 403kB     0B / 0B          7
ad76e63b655b   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.57%     8.004MiB / 2GiB       922kB / 395kB     0B / 0B          7
cff2e808af89   dev-peer7.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.81%     7.895MiB / 2GiB       946kB / 414kB     0B / 0B          8
de3752696cfe   dev-peer4.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.62%     7.969MiB / 2GiB       889kB / 372kB     0B / 0B          8
00d560591b9a   dev-peer5.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.72%     8.312MiB / 2GiB       968kB / 404kB     0B / 0B          8
1e18cb5d0e8d   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.63%     8.129MiB / 2GiB       927kB / 385kB     0B / 0B          8
d79f6760666a   dev-peer6.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.77%     8.02MiB / 2GiB        918kB / 381kB     0B / 0B          8
973d2c8872fb   peer7.org2.example.com                                                                                  13.58%    125.2MiB / 11.57GiB   102MB / 77.5MB    0B / 26.9MB      12
30ff2894bd2b   peer6.org2.example.com                                                                                  13.15%    119.7MiB / 11.57GiB   101MB / 87MB      0B / 25.9MB      14
178e2ece458e   peer5.org2.example.com                                                                                  10.40%    115.9MiB / 11.57GiB   99MB / 83.7MB     0B / 26.9MB      13
21325716e8f4   peer4.org2.example.com                                                                                  17.12%    120.8MiB / 11.57GiB   110MB / 85.9MB    0B / 26.9MB      14
