CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
d0d7d1243640   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   7.83%     13.82MiB / 2GiB       8.81MB / 3.89MB   0B / 0B           9
8edfc6e3bab9   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   3.02%     8.172MiB / 2GiB       3.03MB / 1.8MB    8.19kB / 0B       8
38a91a5e521b   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.31%     8.516MiB / 2GiB       2.26MB / 1.01MB   0B / 0B           8
1dcb238ff873   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.58%     8.059MiB / 2GiB       2.17MB / 957kB    0B / 0B           7
1a00a97eefae   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.44%     8.07MiB / 2GiB        2.26MB / 992kB    0B / 0B           8
e368eeac52a9   peer3.org1.example.com                                                                                  31.98%    135MiB / 11.57GiB     99.6MB / 82.7MB   1.68MB / 54.9MB   13
5a3b44a74e0d   peer2.org1.example.com                                                                                  28.15%    141.5MiB / 11.57GiB   99.3MB / 88.7MB   61.4kB / 27.3MB   13
f52bcfec683a   peer1.org1.example.com                                                                                  25.50%    124.4MiB / 11.57GiB   96.1MB / 83.4MB   168kB / 28.3MB    15
2298505756fe   cli                                                                                                     0.00%     12.11MiB / 11.57GiB   109kB / 17.5kB    14.5MB / 336kB    1
fb36a2f9286f   peer0.org2.example.com                                                                                  24.55%    122MiB / 11.57GiB     34.7MB / 26MB     12.8MB / 14.6MB   14
4e91c5796a73   peer0.org1.example.com                                                                                  13.86%    143.5MiB / 11.57GiB   98.1MB / 85.5MB   16.5MB / 15.8MB   12
4dcc78dc2550   couchdb0                                                                                                22.15%    75.34MiB / 11.57GiB   1.59MB / 1.62MB   15.8MB / 11.7MB   42
c3d37a692212   couchdb1                                                                                                32.74%    87.9MiB / 11.57GiB    2.63MB / 2.78MB   12.6MB / 10.7MB   42
acbdacfc7222   orderer.example.com                                                                                     10.54%    61.58MiB / 11.57GiB   21.2MB / 81.1MB   19.6MB / 42.2MB   14
ff0305c4c2b6   ca_orderer                                                                                              0.42%     7.02MiB / 11.57GiB    23.2kB / 27.2kB   598kB / 659kB     8
271d8fb0e207   ca_org2                                                                                                 0.00%     7.133MiB / 11.57GiB   27.5kB / 35.5kB   573kB / 737kB     8
1a78b71dfe73   ca_org1                                                                                                 0.16%     7.715MiB / 11.57GiB   46.7kB / 77.7kB   23.2MB / 1.13MB   7
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
d0d7d1243640   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   8.06%     15.48MiB / 2GiB       9.92MB / 4.29MB   0B / 0B           9
8edfc6e3bab9   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   3.14%     8.41MiB / 2GiB        3.32MB / 1.92MB   8.19kB / 0B       8
