CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O       PIDS
ce2cc2b841dd   peer2.org2.example.com                                                                                  1.25%     83.62MiB / 11.57GiB   6.02MB / 3.08MB   0B / 3.43MB     10
cfe9e87c5865   peer1.org2.example.com                                                                                  1.55%     84.61MiB / 11.57GiB   6.06MB / 3.08MB   0B / 3.43MB     10
580daecde2b3   peer3.org1.example.com                                                                                  12.15%    88.39MiB / 11.57GiB   19.8MB / 44.1MB   0B / 3.44MB     10
d412be458b33   peer2.org1.example.com                                                                                  11.39%    82.72MiB / 11.57GiB   19.9MB / 44.2MB   0B / 3.43MB     10
de1839e03f38   peer1.org1.example.com                                                                                  11.03%    83.02MiB / 11.57GiB   19.8MB / 44.5MB   0B / 3.43MB     10
41032be9efd7   cli                                                                                                     0.00%     1.07MiB / 11.57GiB    110kB / 17.4kB    0B / 336kB      1
1d022ede98c8   peer0.org1.example.com                                                                                  39.64%    94.97MiB / 11.57GiB   55.8MB / 46MB     0B / 3.36MB     11
cfbeb89ca648   peer0.org2.example.com                                                                                  1.21%     71.36MiB / 11.57GiB   6.95MB / 4.03MB   0B / 3.36MB     10
a52ef1eafd43   couchdb0                                                                                                159.11%   58.48MiB / 11.57GiB   1.22MB / 35.5MB   0B / 1.41MB     42
3f41b9cb9a7c   couchdb1                                                                                                0.69%     55.45MiB / 11.57GiB   362kB / 338kB     0B / 1.41MB     42
f468fff84ef9   orderer.example.com                                                                                     0.04%     15.09MiB / 11.57GiB   245kB / 1.39MB    123kB / 504kB   9
1a45b6ea5380   ca_org2                                                                                                 0.00%     7.316MiB / 11.57GiB   46.9kB / 77.2kB   0B / 1.13MB     8
a1f9045aee12   ca_orderer                                                                                              0.00%     7.195MiB / 11.57GiB   24kB / 27.2kB     0B / 659kB      7
9d7311074e90   ca_org1                                                                                                 0.00%     7.184MiB / 11.57GiB   47.4kB / 77.7kB   0B / 1.13MB     7
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O       PIDS
84e7a3a3d7c5   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   8.18%     8.387MiB / 2GiB       20.2MB / 17.1MB   0B / 0B         8
31a943db948e   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.812MiB / 2GiB       355kB / 419kB     0B / 0B         7
6cc19a534190   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   33.25%    8.664MiB / 2GiB       21MB / 17.5MB     0B / 0B         8
fb9114b209da   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   33.12%    8.266MiB / 2GiB       20.9MB / 17.4MB   0B / 0B         9
d3772be92cd6   dev-peer2.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.145MiB / 2GiB       7.63kB / 4.45kB   0B / 0B         7
466e51efcc70   dev-peer1.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.348MiB / 2GiB       7.76kB / 4.56kB   0B / 0B         7
e4efb9669bcf   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   35.52%    8.762MiB / 2GiB       21.1MB / 17.5MB   0B / 0B         9
6d5ec4da5944   dev-peer3.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.566MiB / 2GiB       7.59kB / 4.34kB   0B / 0B         7
06a857bd7e05   peer3.org2.example.com                                                                                  2.82%     86.28MiB / 11.57GiB   6.03MB / 3.04MB   0B / 3.44MB     10
